date,spot,vol_21d,oos,sigma_xgb,price_xgb,sigma_vix_proxy,price_vix_proxy,price_BSM
2019-09-12,117.91000366210938,0.2633526915320207,0.0,0.21536538004875183,33.58185413604721,0.16819286346435547,32.08641235306652,35.741364438431404
2019-09-18,119.76000213623048,0.2087287790726864,0.0,0.2097042053937912,31.96525351226265,0.1676691246032715,30.48863548730229,31.924704073612943
2019-09-25,118.0,0.1843347266200897,0.0,0.21566946804523468,33.59926955812968,0.17487056732177733,32.25719077636673,32.52139884101297
2019-10-01,115.5500030517578,0.18558827455719,0.0,0.23722496628761292,36.37731413552447,0.19293609619140625,34.911006702436524,34.72311649230687
2019-10-07,114.37000274658205,0.1945458061202059,0.0,0.24707642197608948,37.73322188988132,0.18411184310913087,35.81108032494082,36.051977455337735
2019-10-11,116.13999938964844,0.201912107535871,0.0,0.22763070464134216,35.735241449789996,0.17119401931762696,34.07197424322027,34.859053900350645
2019-10-18,120.55999755859376,0.2122822404438914,0.0,0.21017998456954956,31.745208659429224,0.16767763137817382,30.19712167405774,31.83639886200193
2019-10-24,125.02999877929688,0.2219053984190438,0.0,0.2097042053937912,28.631489580908976,0.1675059127807617,26.598158886034994,29.313524829230673
2019-10-30,125.7300033569336,0.2069088240469704,0.0,0.20942245423793793,28.224680829425665,0.16756975173950195,26.133769033344194,28.08470864622649
2019-11-05,129.10000610351562,0.1848165294970844,0.0,0.20385532081127167,25.93821233818703,0.1655983543395996,23.70584852994952,24.77543646757674
2019-11-12,129.16000366210938,0.156477157535021,0.0,0.21087196469306946,26.32684136726205,0.1629686164855957,23.494289912196123,23.165036801027554
2019-11-18,130.6199951171875,0.1317550398424945,0.0,0.21072593331336975,25.566871099198508,0.16279975891113282,22.536323373765896,20.966925419765857
2019-11-22,130.7899932861328,0.1112281535361611,0.0,0.21143649518489838,25.520953557887353,0.16159496307373047,22.347713412970194,20.02120636505751
2019-12-02,131.47000122070312,0.103631324145257,0.0,0.21652375161647797,25.532296945548744,0.16752683639526367,22.249915356446863,19.1813708850799
2019-12-06,135.0399932861328,0.1173859532503516,0.0,0.207939013838768,23.39300852666694,0.16311832427978515,20.020856007048835,17.124007537338358
2019-12-12,138.02000427246094,0.146931935735755,0.0,0.20382574200630188,21.975413509471295,0.16155858993530273,18.48756424175366,17.34795909442702
